item_id,name,low_price_usdt,low_account_label,low_export_datetime,low_message_id,high_price_usdt,high_account_label,high_export_datetime,high_message_id,delta_seconds,price_multiple,binance_item_url
971585,APOKI GET IT OUT N(B),0.2,User-c04f0,2026-08-10 15:07:37,1518981,21.3,User-33a75,2026-08-10 15:08:30,1518983,53.0,106.5,https://www.binance.com/ru/nft/item/971585
1311781,Wreath Crown of Autumn Leaves,0.11,User-33a4e,2026-08-02 09:16:17,1510748,21.22,User-2d969,2026-08-02 09:17:10,1510749,53.0,192.9090909090909,https://www.binance.com/ru/nft/item/1311781
969688,APOKI GET IT OUT N(C),0.2,User-c309d,2026-08-10 15:55:09,1519005,20.51,User-818bf,2026-08-10 15:56:03,1519007,54.0,102.55,https://www.binance.com/ru/nft/item/969688
741916,KAKA Troland Card  999,0.18,User-d1126,2026-08-11 10:38:34,1519344,21.44,User-abe53,2026-08-11 10:39:28,1519345,54.0,119.11111111111113,https://www.binance.com/ru/nft/item/741916
890398,Waitin 4 U(Trap Version II),0.2,User-d20e8,2026-08-08 12:52:53,1518167,21.41,User-73e12,2026-08-08 12:53:47,1518169,54.0,107.05,https://www.binance.com/ru/nft/item/890398
425113,Azure Blue Dress,0.11,User-a9a16,2026-08-03 14:06:00,1511681,22.06,User-e4c19,2026-08-03 14:06:55,1511685,55.0,200.54545454545453,https://www.binance.com/ru/nft/item/425113
890400,Waitin 4 U(Trap Version II),0.2,User-3b810,2026-08-08 13:28:09,1518200,21.71,User-be146,2026-08-08 13:29:06,1518201,57.0,108.55,https://www.binance.com/ru/nft/item/890400
966832,APOKI GET IT OUT R(A),0.18,User-adb8b,2026-08-10 11:55:30,1518875,20.93,User-b33a7,2026-08-10 11:56:28,1518878,58.0,116.27777777777779,https://www.binance.com/ru/nft/item/966832
11845044,Soldier - Male,0.18,User-62bc7,2026-08-10 15:53:51,1519001,20.71,User-ec502,2026-08-10 15:54:50,1519003,59.0,115.05555555555557,https://www.binance.com/ru/nft/item/11845044
11849098,Captain - Male,0.13,User-44a78,2026-08-06 09:26:26,1515494,21.01,User-01f88,2026-08-06 09:27:26,1515495,60.0,161.6153846153846,https://www.binance.com/ru/nft/item/11849098
895364,Waitin 4 U(Dance Version),0.2,User-25451,2026-08-08 12:33:24,1518126,21.31,User-2b9ac,2026-08-08 12:34:25,1518128,61.0,106.54999999999998,https://www.binance.com/ru/nft/item/895364
475287,Wichita - Special,0.11,User-8d7ba,2026-08-06 14:05:33,1515820,20.98,User-a5e97,2026-08-06 14:06:34,1515822,61.0,190.72727272727272,https://www.binance.com/ru/nft/item/475287
973159,APOKI GET IT OUT N(B),0.18,User-95692,2026-08-10 11:54:27,1518872,20.71,User-d1d6e,2026-08-10 11:55:31,1518876,64.0,115.05555555555557,https://www.binance.com/ru/nft/item/973159
1315974,Western Burgundy Pumps,0.18,User-49658,2026-08-11 11:47:21,1519374,20.22,User-b721f,2026-08-11 11:48:25,1519378,64.0,112.33333333333333,https://www.binance.com/ru/nft/item/1315974
1348860,Wreath Crown of Summer Leaves,0.18,User-49658,2026-08-11 11:48:25,1519377,20.02,User-b2106,2026-08-11 11:49:31,1519381,66.0,111.22222222222223,https://www.binance.com/ru/nft/item/1348860
1351362,Fall Wreath,0.11,User-55ac6,2026-08-02 09:37:37,1510754,21.12,User-19be1,2026-08-02 09:38:44,1510758,67.0,192.0,https://www.binance.com/ru/nft/item/1351362
986447,APOKI GET IT OUT N(D),0.18,User-95692,2026-08-10 11:55:40,1518877,20.62,User-8a5f2,2026-08-10 11:56:47,1518879,67.0,114.55555555555557,https://www.binance.com/ru/nft/item/986447
11853331,Soldier - Male,0.18,User-c4fbc,2026-08-10 17:30:47,1519070,20.38,User-57f29,2026-08-10 17:31:54,1519073,67.0,113.22222222222221,https://www.binance.com/ru/nft/item/11853331
59041415,Cameroon,0.11,User-5aac7,2026-08-10 12:04:19,1518881,20.85,User-95692,2026-08-10 12:05:28,1518884,69.0,189.54545454545456,https://www.binance.com/ru/nft/item/59041415
904472,Real Bad(R&B Version II),0.2,User-25451,2026-08-08 12:34:24,1518127,21.41,User-9146d,2026-08-08 12:35:33,1518129,69.0,107.05,https://www.binance.com/ru/nft/item/904472
1348243,Summer Wreath,0.11,User-0cd87,2026-08-01 10:05:19,1510420,41.84,User-b3690,2026-08-01 10:06:29,1510423,70.0,380.3636363636364,https://www.binance.com/ru/nft/item/1348243
47488296,Costa Rica,0.11,Fan-Token-4,2026-08-08 22:10:05,1518308,46.0,Dipangkar1982,2026-08-08 22:11:15,1518310,70.0,418.1818181818182,https://www.binance.com/ru/nft/item/47488296
23779396,Eula-Rare,0.11,User-84711,2026-08-03 10:00:57,1511461,22.57,User-67b80,2026-08-03 10:02:12,1511471,75.0,205.1818181818182,https://www.binance.com/ru/nft/item/23779396
1342916,Continental Tanned Costume,0.11,User-c9c8f,2026-08-02 13:55:42,1510941,41.63,User-2f4fe,2026-08-02 13:56:57,1510944,75.0,378.4545454545455,https://www.binance.com/ru/nft/item/1342916
48511797,Belgium,0.11,OPUSD,2026-08-09 14:19:00,1518539,25.0,Ghulamnabi090,2026-08-09 14:20:15,1518540,75.0,227.27272727272728,https://www.binance.com/ru/nft/item/48511797
1326438,Cozy Knitted Cardigan,0.12,User-f6974,2026-08-02 13:56:06,1510943,41.73,User-d12ea,2026-08-02 13:57:21,1510945,75.0,347.75,https://www.binance.com/ru/nft/item/1326438
50343439,Australia,0.11,Arshad-1221,2026-08-08 05:04:07,1517972,45.0,Fan-Token-3,2026-08-08 05:05:25,1517973,78.0,409.09090909090907,https://www.binance.com/ru/nft/item/50343439
59042534,Cameroon,0.11,Arshad-1221,2026-08-09 23:17:13,1518710,45.0,Fan-Token-4,2026-08-09 23:18:31,1518711,78.0,409.09090909090907,https://www.binance.com/ru/nft/item/59042534
447498,Picnic Basket,0.11,User-7f52e,2026-08-05 12:09:02,1514230,20.58,User-94fd2,2026-08-05 12:10:21,1514232,79.0,187.09090909090907,https://www.binance.com/ru/nft/item/447498
47614002,Costa Rica,0.11,Fan-Token-4,2026-08-08 22:10:27,1518309,46.0,Dipangkar1982,2026-08-08 22:11:47,1518311,80.0,418.1818181818182,https://www.binance.com/ru/nft/item/47614002
11853083,Rouge - Male,0.18,User-8320f,2026-08-11 11:48:10,1519375,21.7,User-6c914,2026-08-11 11:49:31,1519380,81.0,120.55555555555556,https://www.binance.com/ru/nft/item/11853083
42361638,Qatar,0.11,Arshad-1221,2026-08-08 22:17:30,1518328,45.0,Fan-Token-4,2026-08-08 22:18:52,1518334,82.0,409.09090909090907,https://www.binance.com/ru/nft/item/42361638
41850406,Mysterious Vampire,0.11,User-6d5ae,2026-08-03 12:20:51,1511625,23.18,User-2dba0,2026-08-03 12:22:15,1511628,84.0,210.72727272727272,https://www.binance.com/ru/nft/item/41850406
448493,Azure Blue Dress,0.13,User-3eb5b,2026-08-03 11:47:51,1511583,22.76,User-13e44,2026-08-03 11:49:15,1511586,84.0,175.0769230769231,https://www.binance.com/ru/nft/item/448493
1319857,Fall Wreath,0.11,User-e5c29,2026-08-01 13:32:53,1510484,41.64,User-2d297,2026-08-01 13:34:24,1510485,91.0,378.54545454545456,https://www.binance.com/ru/nft/item/1319857
42358624,Qatar,0.11,Arshad-1221,2026-08-09 23:11:11,1518706,45.0,Fan-Token-4,2026-08-09 23:12:43,1518707,92.0,409.09090909090907,https://www.binance.com/ru/nft/item/42358624
1329168,Cozy Knitted Cardigan,0.17,User-2caa0,2026-08-07 16:28:45,1517615,21.02,User-18ce2,2026-08-07 16:30:17,1517617,92.0,123.6470588235294,https://www.binance.com/ru/nft/item/1329168
1322506,Western Burgundy Pumps,0.12,User-7c781,2026-08-02 13:55:47,1510942,41.68,User-b8f01,2026-08-02 13:57:22,1510946,95.0,347.33333333333337,https://www.binance.com/ru/nft/item/1322506
31438565,😽Paradise Kitten😽,0.11,User-6702e,2026-08-07 06:18:06,1517200,49.9,User-a3952,2026-08-07 06:19:42,1517201,96.0,453.6363636363636,https://www.binance.com/ru/nft/item/31438565
11849218,Bard - Female,0.18,User-5a003,2026-08-11 15:00:30,1519522,20.42,User-e6ad9,2026-08-11 15:02:07,1519523,97.0,113.44444444444446,https://www.binance.com/ru/nft/item/11849218
1333868,Cozy Knitted Cardigan,0.11,User-0d82c,2026-08-02 11:27:00,1510771,22.69,User-8f625,2026-08-02 11:28:38,1510776,98.0,206.27272727272728,https://www.binance.com/ru/nft/item/1333868
11854658,Rouge - Male,0.18,User-f3940,2026-08-11 15:00:29,1519521,20.29,User-85fd3,2026-08-11 15:02:08,1519524,99.0,112.72222222222223,https://www.binance.com/ru/nft/item/11854658
11844684,Assassin - Male,0.18,User-53b66,2026-08-11 10:30:01,1519332,20.82,User-a9acf,2026-08-11 10:31:41,1519333,100.0,115.66666666666667,https://www.binance.com/ru/nft/item/11844684
1344717,Continental Tanned Costume,0.12,User-931a7,2026-08-01 11:52:09,1510449,42.17,User-61a8b,2026-08-01 11:53:50,1510450,101.0,351.4166666666667,https://www.binance.com/ru/nft/item/1344717
1306299,Continental Tanned Costume,0.11,User-0d195,2026-08-02 14:23:17,1510952,41.93,User-38f6f,2026-08-02 14:24:59,1510956,102.0,381.1818181818182,https://www.binance.com/ru/nft/item/1306299
1341090,Continental Tanned Costume,0.12,User-b3081,2026-08-02 14:23:16,1510951,41.98,User-2acbe,2026-08-02 14:24:59,1510955,103.0,349.8333333333333,https://www.binance.com/ru/nft/item/1341090
1345504,Fall Wreath,0.12,User-3b9a1,2026-08-01 11:52:08,1510448,42.27,User-7cee2,2026-08-01 11:53:55,1510452,107.0,352.25000000000006,https://www.binance.com/ru/nft/item/1345504
11848067,Captain - Male,0.18,User-abe53,2026-08-11 10:29:52,1519331,20.93,User-f6514,2026-08-11 10:31:42,1519334,110.0,116.27777777777779,https://www.binance.com/ru/nft/item/11848067
1321040,Wreath Crown of Summer Leaves,0.11,User-1ddf5,2026-08-02 09:21:06,1510750,21.11,User-33a4e,2026-08-02 09:22:56,1510751,110.0,191.9090909090909,https://www.binance.com/ru/nft/item/1321040
1338320,Warm Ribbed Pant,0.13,User-5a017,2026-08-02 14:23:27,1510954,42.13,User-5a932,2026-08-02 14:25:19,1510957,112.0,324.0769230769231,https://www.binance.com/ru/nft/item/1338320
1321662,Summer Wreath,0.12,User-c43f5,2026-08-01 17:02:48,1510545,41.99,User-0559a,2026-08-01 17:04:40,1510551,112.0,349.9166666666667,https://www.binance.com/ru/nft/item/1321662
1301967,Cozy Knitted Cardigan,0.11,User-380fe,2026-08-01 11:51:54,1510447,41.97,User-22c4a,2026-08-01 11:53:50,1510451,116.0,381.54545454545456,https://www.binance.com/ru/nft/item/1301967
1324902,Friendship Headscarf,0.12,User-d17cd,2026-08-02 14:23:22,1510953,42.03,User-17288,2026-08-02 14:25:20,1510958,118.0,350.25,https://www.binance.com/ru/nft/item/1324902
426592,Azure Blue Headscarf,0.11,User-e0d7d,2026-08-05 10:37:17,1514051,20.0,User-09b7a,2026-08-05 10:39:18,1514054,121.0,181.8181818181818,https://www.binance.com/ru/nft/item/426592
1310726,Western Burgundy Pumps,0.12,User-6f015,2026-08-01 11:51:54,1510446,42.07,User-61fe4,2026-08-01 11:53:56,1510453,122.0,350.58333333333337,https://www.binance.com/ru/nft/item/1310726
417832,Azure Blue Dress,0.12,User-554a6,2026-08-03 11:24:26,1511561,22.06,User-2fc1e,2026-08-03 11:26:41,1511569,135.0,183.83333333333334,https://www.binance.com/ru/nft/item/417832
48106439,Croatia,0.11,Arshad-1221,2026-08-09 15:10:24,1518549,47.0,Fan-Token-4,2026-08-09 15:12:39,1518554,135.0,427.27272727272725,https://www.binance.com/ru/nft/item/48106439
1317839,Continental Tanned Costume,0.11,User-e5c29,2026-08-01 13:29:37,1510481,41.54,User-52d07,2026-08-01 13:31:52,1510483,135.0,377.6363636363636,https://www.binance.com/ru/nft/item/1317839
1347533,Nut Brown Shoes,0.12,User-09009,2026-08-01 13:05:15,1510474,42.55,User-8eb96,2026-08-01 13:07:37,1510480,142.0,354.5833333333333,https://www.binance.com/ru/nft/item/1347533
59033732,Cameroon,0.11,Fan-Token-4,2026-08-08 22:09:42,1518307,46.0,Dipangkar1982,2026-08-08 22:12:09,1518312,147.0,418.1818181818182,https://www.binance.com/ru/nft/item/59033732
1316238,Summer Wreath,0.12,User-59738,2026-08-01 13:05:01,1510473,42.54,User-4ca2c,2026-08-01 13:07:29,1510475,148.0,354.5,https://www.binance.com/ru/nft/item/1316238
50020521,Uruguay,0.11,User-8d9d0,2026-08-02 19:07:28,1511033,45.0,Vipbnbnftus,2026-08-02 19:09:57,1511036,149.0,409.09090909090907,https://www.binance.com/ru/nft/item/50020521
1334849,Wreath Crown of Autumn Leaves,0.11,User-e7330,2026-08-03 09:08:22,1511416,21.4,User-dba2d,2026-08-03 09:10:54,1511417,152.0,194.54545454545453,https://www.binance.com/ru/nft/item/1334849
1325401,Fall Wreath,0.11,User-b2e37,2026-08-01 13:04:57,1510472,42.37,User-adf89,2026-08-01 13:07:30,1510477,153.0,385.18181818181813,https://www.binance.com/ru/nft/item/1325401
1315204,Cozy Knitted Cardigan,0.12,User-dd242,2026-08-01 13:04:56,1510471,42.44,User-acb6b,2026-08-01 13:07:30,1510476,154.0,353.6666666666667,https://www.binance.com/ru/nft/item/1315204
49769826,Ghana,0.11,Arshad-1221,2026-08-08 22:17:56,1518329,31.0,Fan-Token-4,2026-08-08 22:20:30,1518335,154.0,281.8181818181818,https://www.binance.com/ru/nft/item/49769826
1320086,Cozy Knitted Cardigan,0.11,User-19be1,2026-08-02 09:23:48,1510752,21.1,User-1ddf5,2026-08-02 09:26:27,1510753,159.0,191.81818181818184,https://www.binance.com/ru/nft/item/1320086
