item_id,name,low_price_usdt,low_account_label,low_export_datetime,low_message_id,high_price_usdt,high_account_label,high_export_datetime,high_message_id,delta_seconds,price_multiple,binance_item_url
56177,MEKACORNO U9,0.2,Asim80903,2026-08-11 13:16:31,1519472,20.0869,User-483bf,2026-08-11 13:16:36,1519474,5.0,100.4345,https://www.binance.com/ru/nft/item/56177
440155,Azure Blue Dress,0.11,User-6bc84,2026-08-05 12:55:03,1514308,20.6,User-dbdca,2026-08-05 12:55:11,1514310,8.0,187.27272727272728,https://www.binance.com/ru/nft/item/440155
12173870,Xayah-Common,0.18,Asim80903,2026-08-08 20:10:27,1518294,20.0,User-c6b1e,2026-08-08 20:10:36,1518295,9.0,111.11111111111111,https://www.binance.com/ru/nft/item/12173870
434279,Azure Blue Dress,0.11,User-32f6f,2026-08-05 15:07:11,1514414,20.87,User-aa12c,2026-08-05 15:07:20,1514415,9.0,189.72727272727275,https://www.binance.com/ru/nft/item/434279
1351018,Nut Brown Shoes,0.18,Asim80903,2026-08-11 01:52:51,1519202,20.2209,User-06924,2026-08-11 01:53:00,1519203,9.0,112.33833333333334,https://www.binance.com/ru/nft/item/1351018
12544347,Miya-Common,0.18,Asim80903,2026-08-10 20:52:01,1519107,24.5084749,User-aceb6,2026-08-10 20:52:10,1519108,9.0,136.1581938888889,https://www.binance.com/ru/nft/item/12544347
12073589,T - Mac Time Commemorative Edition 9,0.15,Asim80903,2026-08-11 01:20:28,1519181,25.1384,User-9a5b8,2026-08-11 01:20:38,1519183,10.0,167.58933333333334,https://www.binance.com/ru/nft/item/12073589
889245,Waitin 4 U(Trap Version I),0.15,User-7e72e,2026-08-07 14:47:38,1517542,20.61,User-19632,2026-08-07 14:47:52,1517544,14.0,137.4,https://www.binance.com/ru/nft/item/889245
6632797,Yoyo-Common,0.15,User-06a9a,2026-08-08 23:59:34,1518371,25.67,User-a8c13,2026-08-08 23:59:48,1518372,14.0,171.13333333333335,https://www.binance.com/ru/nft/item/6632797
1347577,Fall Wreath,0.15,User-921ba,2026-08-07 11:08:39,1517387,20.62,User-92b79,2026-08-07 11:08:53,1517388,14.0,137.46666666666667,https://www.binance.com/ru/nft/item/1347577
434041,Nut Brown Shoes,0.12,User-10aea,2026-08-06 11:51:26,1515753,21.13,User-dd212,2026-08-06 11:51:40,1515755,14.0,176.08333333333334,https://www.binance.com/ru/nft/item/434041
24861242,😽Paradise Kitten😽,0.11,User-2dba0,2026-08-03 12:04:21,1511597,23.05,User-faa0f,2026-08-03 12:04:36,1511599,15.0,209.54545454545456,https://www.binance.com/ru/nft/item/24861242
464157,Wichita - Rare,0.12,User-8d7ba,2026-08-06 14:06:34,1515821,20.51,User-28b6c,2026-08-06 14:06:49,1515823,15.0,170.91666666666669,https://www.binance.com/ru/nft/item/464157
12305653,Lilith-Common,0.12,User-310e9,2026-08-01 17:18:36,1510573,36.77,User-c43f5,2026-08-01 17:18:54,1510574,18.0,306.4166666666667,https://www.binance.com/ru/nft/item/12305653
12177795,Xayah-Common,0.18,Asim80903,2026-08-08 13:56:09,1518209,20.0,User-79d1b,2026-08-08 13:56:27,1518210,18.0,111.11111111111111,https://www.binance.com/ru/nft/item/12177795
1323352,Cozy Knitted Cardigan,0.18,Asim80903,2026-08-11 01:58:44,1519204,20.3471837,User-e5bd7,2026-08-11 01:59:02,1519205,18.0,113.03990944444445,https://www.binance.com/ru/nft/item/1323352
12172670,Celia-Common,0.18,Asim80903,2026-08-08 15:29:38,1518220,22.2,User-53029,2026-08-08 15:30:00,1518221,22.0,123.33333333333333,https://www.binance.com/ru/nft/item/12172670
441289,Nut Brown Shoes,0.15,User-0ceb2,2026-08-07 10:13:31,1517347,21.03,User-d80ac,2026-08-07 10:13:54,1517348,23.0,140.20000000000002,https://www.binance.com/ru/nft/item/441289
1307610,Western Burgundy Pumps,0.11,User-00a77,2026-08-01 07:12:57,1510396,40.0,User-161b8,2026-08-01 07:13:20,1510398,23.0,363.6363636363636,https://www.binance.com/ru/nft/item/1307610
891090,Waitin 4 U(Trap Version II),0.15,User-8c8d3,2026-08-07 14:49:33,1517548,21.7,User-0b522,2026-08-07 14:49:56,1517549,23.0,144.66666666666666,https://www.binance.com/ru/nft/item/891090
892406,Waitin 4 U(Dance Version),0.11,User-53acd,2026-08-07 14:09:45,1517500,21.31,User-c5eb3,2026-08-07 14:10:08,1517501,23.0,193.72727272727272,https://www.binance.com/ru/nft/item/892406
975397,APOKI GET IT OUT R(B),0.18,User-e4b30,2026-08-10 11:23:08,1518863,21.32,User-efcdb,2026-08-10 11:23:31,1518864,23.0,118.44444444444446,https://www.binance.com/ru/nft/item/975397
