item_id,name,low_price_usdt,low_account_label,low_export_datetime,low_message_id,high_price_usdt,high_account_label,high_export_datetime,high_message_id,delta_seconds,price_multiple,binance_item_url
45075623,Netherlands,0.11,Arshad-1221,2026-08-03 01:41:27,1511110,45.0,Fan-Token-4,2026-08-03 02:06:53,1511121,1526.0,409.09090909090907,https://www.binance.com/ru/nft/item/45075623
58949892,Brazil,0.11,Vipbnbnftus,2026-08-02 18:31:57,1511020,45.0,Anonymous-User-23ee9,2026-08-02 18:57:28,1511026,1531.0,409.09090909090907,https://www.binance.com/ru/nft/item/58949892
1304401,Scandinavian Bunad,0.11,User-eab70,2026-08-03 09:07:39,1511410,22.13,User-a662c,2026-08-03 09:33:30,1511424,1551.0,201.18181818181816,https://www.binance.com/ru/nft/item/1304401
46228657,Argentina,0.11,Vipbnbnftus,2026-08-02 18:32:43,1511022,27.0,Anonymous-User-23ee9,2026-08-02 19:00:28,1511028,1665.0,245.45454545454547,https://www.binance.com/ru/nft/item/46228657
46930030,Australia,0.11,Arshad-1221,2026-08-03 01:37:34,1511106,45.0,Fan-Token-4,2026-08-03 02:07:56,1511125,1822.0,409.09090909090907,https://www.binance.com/ru/nft/item/46930030
45919539,Poland,0.11,Arshad-1221,2026-08-08 12:20:33,1518119,22.0,Fan-Token-4,2026-08-08 12:50:55,1518161,1822.0,200.0,https://www.binance.com/ru/nft/item/45919539
47352733,Spain,0.11,Arshad-1221,2026-08-08 12:18:27,1518115,46.0,Fan-Token-4,2026-08-08 12:49:54,1518157,1887.0,418.1818181818182,https://www.binance.com/ru/nft/item/47352733
46582368,Poland,0.11,Arshad-1221,2026-08-03 01:35:01,1511103,45.0,Fan-Token-4,2026-08-03 02:07:29,1511123,1948.0,409.09090909090907,https://www.binance.com/ru/nft/item/46582368
45272536,Netherlands,0.11,Arshad-1221,2026-08-03 01:34:08,1511102,45.0,Fan-Token-4,2026-08-03 02:07:47,1511124,2019.0,409.09090909090907,https://www.binance.com/ru/nft/item/45272536
47581324,Costa Rica,0.11,Bnbcoin3,2026-08-06 01:13:35,1515100,75.0,User-ddca4,2026-08-06 02:05:12,1515104,3097.0,681.8181818181819,https://www.binance.com/ru/nft/item/47581324
42716905,Qatar,0.11,User-8d9d0,2026-08-02 18:14:03,1511014,45.0,Vipbnbnftus,2026-08-02 19:06:22,1511030,3139.0,409.09090909090907,https://www.binance.com/ru/nft/item/42716905
24865010,😽Paradise Kitten😽,0.11,NIGHTUSDT,2026-08-03 23:57:43,1511876,99.0,Royal promo,2026-08-04 00:50:14,1511956,3151.0,900.0,https://www.binance.com/ru/nft/item/24865010
48753846,Uruguay,0.11,Arshad-1221,2026-08-03 01:39:01,1511108,45.0,Fan-Token-4,2026-08-03 02:32:26,1511129,3205.0,409.09090909090907,https://www.binance.com/ru/nft/item/48753846
49533691,Switzerland,0.11,Arshad-1221,2026-08-03 01:38:05,1511107,45.0,Fan-Token-4,2026-08-03 02:32:04,1511128,3239.0,409.09090909090907,https://www.binance.com/ru/nft/item/49533691
48280841,Cameroon,0.11,Black Bride,2026-08-09 16:26:18,1518592,30.0,Anonymous-User-a4996,2026-08-09 17:42:42,1518605,4584.0,272.72727272727275,https://www.binance.com/ru/nft/item/48280841
58571609,Denmark,0.11,Dstusdt,2026-08-06 21:36:59,1516458,50.0,User-ddca4,2026-08-06 22:53:26,1516668,4587.0,454.54545454545456,https://www.binance.com/ru/nft/item/58571609
50259403,Denmark,0.11,Arshad-1221,2026-08-09 23:36:31,1518723,45.0,Fan-Token-4,2026-08-10 00:53:38,1518760,4627.0,409.09090909090907,https://www.binance.com/ru/nft/item/50259403
59042535,Cameroon,0.11,Arshad-1221,2026-08-09 23:35:29,1518721,45.0,Fan-Token-4,2026-08-10 01:08:30,1518763,5581.0,409.09090909090907,https://www.binance.com/ru/nft/item/59042535
48179458,Morocco,0.11,Arshad-1221,2026-08-09 23:35:47,1518722,45.0,Fan-Token-4,2026-08-10 01:20:44,1518767,6297.0,409.09090909090907,https://www.binance.com/ru/nft/item/48179458
48848120,Canada,0.11,Black Bride,2026-08-09 16:29:05,1518596,49.0,abdulwahab789,2026-08-09 18:17:14,1518609,6489.0,445.45454545454544,https://www.binance.com/ru/nft/item/48848120
49521975,Portugal,0.11,Black Bride,2026-08-09 16:27:03,1518594,49.0,abdulwahab789,2026-08-09 18:16:26,1518608,6563.0,445.45454545454544,https://www.binance.com/ru/nft/item/49521975
47528419,Japan,0.11,User-18d62,2026-08-05 18:23:37,1514760,22.0,Anonymous-User-0c9ae,2026-08-05 20:26:51,1514787,7394.0,200.0,https://www.binance.com/ru/nft/item/47528419
46349446,Saudi Arabia,0.11,User-f775d,2026-08-01 18:24:35,1510579,20.2,User-fba1b,2026-08-01 21:16:07,1510600,10292.0,183.63636363636363,https://www.binance.com/ru/nft/item/46349446
49719202,Ghana,0.11,Arshad-1221,2026-08-08 12:21:50,1518121,45.0,Fan-Token-3,2026-08-08 15:44:45,1518235,12175.0,409.09090909090907,https://www.binance.com/ru/nft/item/49719202
47008363,Denmark,0.11,Arshad-1221,2026-08-08 12:19:04,1518116,45.0,Fan-Token-4,2026-08-08 16:00:36,1518242,13292.0,409.09090909090907,https://www.binance.com/ru/nft/item/47008363
42603594,Ecuador,0.11,Arshad-1221,2026-08-08 12:17:46,1518112,45.0,Fan-Token-4,2026-08-08 16:31:51,1518251,15245.0,409.09090909090907,https://www.binance.com/ru/nft/item/42603594
47416180,Germany,0.11,Arshad-1221,2026-08-08 12:22:12,1518122,35.0,Fan-Token-4,2026-08-08 16:39:12,1518255,15420.0,318.1818181818182,https://www.binance.com/ru/nft/item/47416180
48167513,Morocco,0.11,Arshad-1221,2026-08-08 12:18:18,1518114,45.0,Fan-Token-4,2026-08-08 16:38:15,1518254,15597.0,409.09090909090907,https://www.binance.com/ru/nft/item/48167513
47390407,Spain,0.11,sausdt,2026-08-10 17:22:48,1519055,75.0,Anonymous-User-ff5e7,2026-08-10 22:05:40,1519116,16972.0,681.8181818181819,https://www.binance.com/ru/nft/item/47390407
45496744,IR Iran,0.11,CryptoNft8,2026-08-08 12:18:17,1518113,50.0,Naveed-Ahmad-0129,2026-08-08 17:06:19,1518261,17282.0,454.54545454545456,https://www.binance.com/ru/nft/item/45496744
49693171,Ghana,0.11,Zena Seidle nUdA,2026-08-06 10:56:39,1515615,24.44,User-2e9c9,2026-08-06 16:29:29,1515933,19970.0,222.1818181818182,https://www.binance.com/ru/nft/item/49693171
48268703,Belgium,0.11,Fan-Token-4,2026-08-07 18:13:53,1517683,46.0,Tanmoy03,2026-08-08 01:16:05,1517895,25332.0,418.1818181818182,https://www.binance.com/ru/nft/item/48268703
48703943,Canada,0.11,Arshad-1221,2026-08-10 14:58:08,1518976,30.0,Anonymous-User-4f60e,2026-08-10 22:20:29,1519119,26541.0,272.72727272727275,https://www.binance.com/ru/nft/item/48703943
59331489,Serbia,0.11,Fan-Token-4,2026-08-07 18:13:26,1517681,46.0,Tanmoy03,2026-08-08 01:44:15,1517907,27049.0,418.1818181818182,https://www.binance.com/ru/nft/item/59331489
46237493,Mexico,0.11,Fan-Token-4,2026-08-07 18:13:17,1517680,46.0,Tanmoy03,2026-08-08 01:46:16,1517911,27179.0,418.1818181818182,https://www.binance.com/ru/nft/item/46237493
31446410,😽Paradise Kitten😽,0.11,NIGHTUSDT,2026-08-03 15:41:57,1511753,99.0,Royal promo,2026-08-04 00:57:47,1511960,33350.0,900.0,https://www.binance.com/ru/nft/item/31446410
47795403,Costa Rica,0.11,Fan-Token-4,2026-08-07 18:13:39,1517682,128.0,Tanmoy03,2026-08-08 04:04:59,1517931,35480.0,1163.6363636363637,https://www.binance.com/ru/nft/item/47795403
42368985,Qatar,0.11,Arshad-1221,2026-08-08 12:21:22,1518120,45.0,Fan-Token-4,2026-08-08 22:15:38,1518322,35656.0,409.09090909090907,https://www.binance.com/ru/nft/item/42368985
46956300,Tunisia,0.11,Arshad-1221,2026-08-08 12:19:48,1518118,45.0,Fan-Token-4,2026-08-08 22:15:52,1518323,35764.0,409.09090909090907,https://www.binance.com/ru/nft/item/46956300
50426131,USA,0.11,Arshad-1221,2026-08-08 12:19:35,1518117,45.0,Fan-Token-4,2026-08-08 22:16:01,1518324,35786.0,409.09090909090907,https://www.binance.com/ru/nft/item/50426131
