item_id,name,low_price_usdt,low_account_label,low_export_datetime,low_message_id,high_price_usdt,high_account_label,high_export_datetime,high_message_id,delta_seconds,price_multiple,binance_item_url
1320669,Summer Wreath,0.11,User-f2cdf,2026-08-03 09:08:13,1511415,21.27,User-e7330,2026-08-03 09:15:02,1511418,409.0,193.36363636363635,https://www.binance.com/ru/nft/item/1320669
1321506,Nut Brown Shoes,0.11,User-f0e98,2026-08-02 09:37:56,1510756,21.6,User-71a35,2026-08-02 09:44:57,1510761,421.0,196.36363636363637,https://www.binance.com/ru/nft/item/1321506
418448,Azure Blue Headscarf,0.12,User-ee314,2026-08-03 14:32:38,1511705,21.59,User-c8d54,2026-08-03 14:39:46,1511713,428.0,179.91666666666669,https://www.binance.com/ru/nft/item/418448
447499,Azure Blue Dress,0.14,User-faa0f,2026-08-03 11:48:23,1511585,22.87,User-f9979,2026-08-03 11:55:40,1511589,437.0,163.35714285714286,https://www.binance.com/ru/nft/item/447499
31443615,😽Paradise Kitten😽,0.11,User-8775b,2026-08-03 12:21:18,1511627,21.96,User-a6a95,2026-08-03 12:28:36,1511631,438.0,199.63636363636365,https://www.binance.com/ru/nft/item/31443615
49827835,Portugal,0.11,User-75fb6,2026-08-03 16:27:25,1511755,45.0,Vipbnbnftus,2026-08-03 16:34:52,1511759,447.0,409.09090909090907,https://www.binance.com/ru/nft/item/49827835
46419359,Poland,0.11,Fan-Token-4,2026-08-05 11:34:59,1514121,46.0,DangerD,2026-08-05 11:42:28,1514143,449.0,418.1818181818182,https://www.binance.com/ru/nft/item/46419359
47593136,Japan,0.11,rezwan vaii,2026-08-07 17:33:04,1517657,23.9,Graig Broun sj1Z,2026-08-07 17:40:34,1517662,450.0,217.27272727272725,https://www.binance.com/ru/nft/item/47593136
12305654,Lilith-Common,0.11,User-6acd5,2026-08-03 10:01:19,1511463,21.18,User-67d0e,2026-08-03 10:08:51,1511480,452.0,192.54545454545453,https://www.binance.com/ru/nft/item/12305654
451767,Tanned Costume Shoes,0.12,User-59afc,2026-08-03 14:06:15,1511684,22.06,User-be513,2026-08-03 14:13:51,1511693,456.0,183.83333333333334,https://www.binance.com/ru/nft/item/451767
11857668,Rouge - Female,0.18,User-62bc7,2026-08-10 15:55:10,1519006,21.7,User-96972,2026-08-10 16:03:16,1519011,486.0,120.55555555555556,https://www.binance.com/ru/nft/item/11857668
434909,Tanned Costume Shoes,0.11,User-3b405,2026-08-03 11:11:42,1511547,21.84,User-642af,2026-08-03 11:20:05,1511551,503.0,198.54545454545453,https://www.binance.com/ru/nft/item/434909
1313662,Continental Tanned Costume,0.11,User-3c188,2026-08-02 11:27:09,1510772,22.38,User-0d82c,2026-08-02 11:36:01,1510777,532.0,203.45454545454544,https://www.binance.com/ru/nft/item/1313662
1341974,Warm Ribbed Pant,0.11,User-f1cef,2026-08-03 09:36:21,1511427,22.4,User-22cc2,2026-08-03 09:45:15,1511430,534.0,203.63636363636363,https://www.binance.com/ru/nft/item/1341974
1302415,Fall Wreath,0.12,User-2c44b,2026-08-02 12:04:09,1510796,21.4,User-c3a17,2026-08-02 12:14:04,1510858,595.0,178.33333333333331,https://www.binance.com/ru/nft/item/1302415
1341098,Wreath Crown of Autumn Leaves,0.12,User-94940,2026-08-02 09:38:09,1510757,21.93,User-f0e98,2026-08-02 09:48:29,1510763,620.0,182.75,https://www.binance.com/ru/nft/item/1341098
1339138,Cozy Knitted Cardigan,0.12,User-b59ad,2026-08-02 11:27:22,1510773,21.96,User-3c188,2026-08-02 11:38:25,1510779,663.0,183.0,https://www.binance.com/ru/nft/item/1339138
